VN() X,VN() Y
1,0.02440488267842783
1.584893192461114,0.01991349327659588
2.511886431509581,0.01585106418382483
3.981071705534974,0.01249199182248088
6.309573444801934,0.009812360708031544
10,0.007703502575158022
15.84893192461114,0.006051275731597367
25.11886431509581,0.00475794024357214
39.81071705534975,0.003745000142747825
63.09573444801936,0.002950830644559388
100.0000000000001,0.002327426526655236
158.4893192461115,0.001837466784403584
251.1886431509582,0.001451928780508427
398.1071705534976,0.00114821695820523
630.9573444801939,0.0009087135283160429
1000.000000000001,0.000719660321433237
1584.893192461115,0.0005702964829110806
2511.886431509583,0.0004521928000006367
3981.071705534978,0.0003587370068395907
6309.573444801941,0.0002847350978449556
10000.00000000001,0.0002261019021321167
15848.93192461116,0.0001796204381102095
25118.86431509584,0.000142754317813738
39810.71705534979,0.0001135010444256182
63095.73444801944,9.02766846152989e-05
100000.0000000002,7.182424560091705e-05
158489.3192461117,5.713920668723467e-05
251188.6431509586,4.54061276771973e-05
398107.1705534981,3.594084241027836e-05
630957.3444801947,2.813791037152735e-05
1000000.000000002,2.144920020111661e-05
1584893.192461117,1.54834819440062e-05
2511886.431509587,1.026447470224865e-05
3981071.705534983,6.204963067411328e-06
6309573.44480195,3.504613256826985e-06
10000000.00000003,1.900764814348853e-06
15848931.92461118,9.960673247509668e-07
25118864.31509588,4.96948349126131e-07
39810717.05534985,2.336989062477553e-07
63095734.44801953,1.066527383905243e-07
100000000.0000003,5.032819620422604e-08
158489319.2461119,2.585466308398067e-08
251188643.1509589,1.450702244394948e-08
398107170.5534986,8.609459718476242e-09
630957344.4801955,5.21893909272081e-09
1000000000.000004,3.149182581708918e-09
1584893192.461119,1.857543615981995e-09
2511886431.50959,1.069093651335047e-09
3981071705.534988,6.149530322189108e-10
6309573444.801957,3.629868434938186e-10
10000000000,2.205640789975619e-10
